name,rmse_log,r2,rmse_dollar,mae_dollar
XGBoost,0.21912544058919867,0.8520609733057681,46068.124680025314,29507.503292952864
Gradient Boosting,0.23208541524849974,0.8340440410845559,48773.40106300854,31880.81463208904
Random Forest,0.239291557590225,0.8235783393873642,51527.29585046266,32392.699752514916
Neural Net (MLP),0.2845113904112598,0.7505999888455149,59896.632122878604,39755.15482692793
Spline,0.2948777295800413,0.7320948263876821,61768.70403820598,42934.75130511995
OLS,0.3351554529292701,0.6539094573354474,92814.41289711047,51612.42245042893
Ridge CV,0.3351623199307852,0.6538952750889275,92858.3030926714,51620.62422534203
Lasso CV,0.3351772646098039,0.6538644092127199,92616.42942050335,51606.067195633266
